timezoneID,gmtDateTime,gmtOffset
ACT,1900.01.01D00:00:00.000,34200
ACT,1916.12.31D14:31:00.000,37800
ACT,1917.03.24D15:30:00.000,34200
ACT,1941.12.31D16:30:00.000,37800
ACT,1942.03.28D15:30:00.000,34200
ACT,1942.09.26D16:30:00.000,37800
ACT,1943.03.27D15:30:00.000,34200
ACT,1943.10.02D16:30:00.000,37800
ACT,1944.03.25D15:30:00.000,34200
AET,1900.01.01D00:00:00.000,36000
AET,1916.12.31D14:01:00.000,39600
AET,1917.03.24D15:00:00.000,36000
AET,1941.12.31D16:00:00.000,39600
AET,1942.03.28D15:00:00.000,36000
AET,1942.09.26D16:00:00.000,39600
AET,1943.03.27D15:00:00.000,36000
AET,1943.10.02D16:00:00.000,39600
AET,1944.03.25D15:00:00.000,36000
AET,1971.10.30D16:00:00.000,39600
AET,1972.02.26D16:00:00.000,36000
AET,1972.10.28D16:00:00.000,39600
AET,1973.03.03D16:00:00.000,36000
AET,1973.10.27D16:00:00.000,39600
AET,1974.03.02D16:00:00.000,36000
AET,1974.10.26D16:00:00.000,39600
AET,1975.03.01D16:00:00.000,36000
AET,1975.10.25D16:00:00.000,39600
AET,1976.03.06D16:00:00.000,36000
AET,1976.10.30D16:00:00.000,39600
AET,1977.03.05D16:00:00.000,36000
AET,1977.10.29D16:00:00.000,39600
AET,1978.03.04D16:00:00.000,36000
AET,1978.10.28D16:00:00.000,39600
AET,1979.03.03D16:00:00.000,36000
AET,1979.10.27D16:00:00.000,39600
AET,1980.03.01D16:00:00.000,36000
AET,1980.10.25D16:00:00.000,39600
AET,1981.02.28D16:00:00.000,36000
AET,1981.10.24D16:00:00.000,39600
AET,1982.04.03D16:00:00.000,36000
AET,1982.10.30D16:00:00.000,39600
AET,1983.03.05D16:00:00.000,36000
AET,1983.10.29D16:00:00.000,39600
AET,1984.03.03D16:00:00.000,36000
AET,1984.10.27D16:00:00.000,39600
AET,1985.03.02D16:00:00.000,36000
AET,1985.10.26D16:00:00.000,39600
AET,1986.03.15D16:00:00.000,36000
AET,1986.10.18D16:00:00.000,39600
AET,1987.03.14D16:00:00.000,36000
AET,1987.10.24D16:00:00.000,39600
AET,1988.03.19D16:00:00.000,36000
AET,1988.10.29D16:00:00.000,39600
AET,1989.03.18D16:00:00.000,36000
AET,1989.10.28D16:00:00.000,39600
AET,1990.03.03D16:00:00.000,36000
AET,1990.10.27D16:00:00.000,39600
AET,1991.03.02D16:00:00.000,36000
AET,1991.10.26D16:00:00.000,39600
AET,1992.02.29D16:00:00.000,36000
AET,1992.10.24D16:00:00.000,39600
AET,1993.03.06D16:00:00.000,36000
AET,1993.10.30D16:00:00.000,39600
AET,1994.03.05D16:00:00.000,36000
AET,1994.10.29D16:00:00.000,39600
AET,1995.03.04D16:00:00.000,36000
AET,1995.10.28D16:00:00.000,39600
AET,1996.03.30D16:00:00.000,36000
AET,1996.10.26D16:00:00.000,39600
AET,1997.03.29D16:00:00.000,36000
AET,1997.10.25D16:00:00.000,39600
AET,1998.03.28D16:00:00.000,36000
AET,1998.10.24D16:00:00.000,39600
AET,1999.03.27D16:00:00.000,36000
AET,1999.10.30D16:00:00.000,39600
AET,2000.03.25D16:00:00.000,36000
AET,2000.08.26D16:00:00.000,39600
AET,2001.03.24D16:00:00.000,36000
AET,2001.10.27D16:00:00.000,39600
AET,2002.03.30D16:00:00.000,36000
AET,2002.10.26D16:00:00.000,39600
AET,2003.03.29D16:00:00.000,36000
AET,2003.10.25D16:00:00.000,39600
AET,2004.03.27D16:00:00.000,36000
AET,2004.10.30D16:00:00.000,39600
AET,2005.03.26D16:00:00.000,36000
AET,2005.10.29D16:00:00.000,39600
AET,2006.04.01D16:00:00.000,36000
AET,2006.10.28D16:00:00.000,39600
AET,2007.03.24D16:00:00.000,36000
AET,2007.10.27D16:00:00.000,39600
AET,2008.04.05D16:00:00.000,36000
AET,2008.10.04D16:00:00.000,39600
AET,2009.04.04D16:00:00.000,36000
AET,2009.10.03D16:00:00.000,39600
AET,2010.04.03D16:00:00.000,36000
AET,2010.10.02D16:00:00.000,39600
AET,2011.04.02D16:00:00.000,36000
AET,2011.10.01D16:00:00.000,39600
AET,2012.03.31D16:00:00.000,36000
AET,2012.10.06D16:00:00.000,39600
AET,2013.04.06D16:00:00.000,36000
AET,2013.10.05D16:00:00.000,39600
AET,2014.04.05D16:00:00.000,36000
AET,2014.10.04D16:00:00.000,39600
AET,2015.04.04D16:00:00.000,36000
AET,2015.10.03D16:00:00.000,39600
AET,2016.04.02D16:00:00.000,36000
AET,2016.10.01D16:00:00.000,39600
AET,2017.04.01D16:00:00.000,36000
AET,2017.09.30D16:00:00.000,39600
AET,2018.03.31D16:00:00.000,36000
AET,2018.10.06D16:00:00.000,39600
AET,2019.04.06D16:00:00.000,36000
AET,2019.10.05D16:00:00.000,39600
AET,2020.04.04D16:00:00.000,36000
AET,2020.10.03D16:00:00.000,39600
AET,2021.04.03D16:00:00.000,36000
AET,2021.10.02D16:00:00.000,39600
AET,2022.04.02D16:00:00.000,36000
AET,2022.10.01D16:00:00.000,39600
AET,2023.04.01D16:00:00.000,36000
AET,2023.09.30D16:00:00.000,39600
AET,2024.04.06D16:00:00.000,36000
AET,2024.10.05D16:00:00.000,39600
AET,2025.04.05D16:00:00.000,36000
AET,2025.10.04D16:00:00.000,39600
AET,2026.04.04D16:00:00.000,36000
AET,2026.10.03D16:00:00.000,39600
AET,2027.04.03D16:00:00.000,36000
AET,2027.10.02D16:00:00.000,39600
AET,2028.04.01D16:00:00.000,36000
AET,2028.09.30D16:00:00.000,39600
AET,2029.03.31D16:00:00.000,36000
AET,2029.10.06D16:00:00.000,39600
AET,2030.04.06D16:00:00.000,36000
AET,2030.10.05D16:00:00.000,39600
AET,2031.04.05D16:00:00.000,36000
AET,2031.10.04D16:00:00.000,39600
AET,2032.04.03D16:00:00.000,36000
AET,2032.10.02D16:00:00.000,39600
AET,2033.04.02D16:00:00.000,36000
AET,2033.10.01D16:00:00.000,39600
AET,2034.04.01D16:00:00.000,36000
AET,2034.09.30D16:00:00.000,39600
AET,2035.03.31D16:00:00.000,36000
AET,2035.10.06D16:00:00.000,39600
AET,2036.04.05D16:00:00.000,36000
AET,2036.10.04D16:00:00.000,39600
AET,2037.04.04D16:00:00.000,36000
AET,2037.10.03D16:00:00.000,39600
AET,2038.04.03D16:00:00.000,36000
AET,2038.10.02D16:00:00.000,39600
AET,2039.04.02D16:00:00.000,36000
AET,2039.10.01D16:00:00.000,39600
AET,2040.03.31D16:00:00.000,36000
AET,2040.10.06D16:00:00.000,39600
AET,2041.04.06D16:00:00.000,36000
AET,2041.10.05D16:00:00.000,39600
AET,2042.04.05D16:00:00.000,36000
AET,2042.10.04D16:00:00.000,39600
AET,2043.04.04D16:00:00.000,36000
AET,2043.10.03D16:00:00.000,39600
AET,2044.04.02D16:00:00.000,36000
AET,2044.10.01D16:00:00.000,39600
AET,2045.04.01D16:00:00.000,36000
AET,2045.09.30D16:00:00.000,39600
AET,2046.03.31D16:00:00.000,36000
AET,2046.10.06D16:00:00.000,39600
AET,2047.04.06D16:00:00.000,36000
AET,2047.10.05D16:00:00.000,39600
AET,2048.04.04D16:00:00.000,36000
AET,2048.10.03D16:00:00.000,39600
AET,2049.04.03D16:00:00.000,36000
AET,2049.10.02D16:00:00.000,39600
AET,2050.04.02D16:00:00.000,36000
AET,2050.10.01D16:00:00.000,39600
AET,2051.04.01D16:00:00.000,36000
AET,2051.09.30D16:00:00.000,39600
AET,2052.04.06D16:00:00.000,36000
AET,2052.10.05D16:00:00.000,39600
AET,2053.04.05D16:00:00.000,36000
AET,2053.10.04D16:00:00.000,39600
AET,2054.04.04D16:00:00.000,36000
AET,2054.10.03D16:00:00.000,39600
AET,2055.04.03D16:00:00.000,36000
AET,2055.10.02D16:00:00.000,39600
AET,2056.04.01D16:00:00.000,36000
AET,2056.09.30D16:00:00.000,39600
AET,2057.03.31D16:00:00.000,36000
AET,2057.10.06D16:00:00.000,39600
AET,2058.04.06D16:00:00.000,36000
AET,2058.10.05D16:00:00.000,39600
AET,2059.04.05D16:00:00.000,36000
AET,2059.10.04D16:00:00.000,39600
AET,2060.04.03D16:00:00.000,36000
AET,2060.10.02D16:00:00.000,39600
AET,2061.04.02D16:00:00.000,36000
AET,2061.10.01D16:00:00.000,39600
AET,2062.04.01D16:00:00.000,36000
AET,2062.09.30D16:00:00.000,39600
AET,2063.03.31D16:00:00.000,36000
AET,2063.10.06D16:00:00.000,39600
AET,2064.04.05D16:00:00.000,36000
AET,2064.10.04D16:00:00.000,39600
AET,2065.04.04D16:00:00.000,36000
AET,2065.10.03D16:00:00.000,39600
AET,2066.04.03D16:00:00.000,36000
AET,2066.10.02D16:00:00.000,39600
AET,2067.04.02D16:00:00.000,36000
AET,2067.10.01D16:00:00.000,39600
AET,2068.03.31D16:00:00.000,36000
AET,2068.10.06D16:00:00.000,39600
AET,2069.04.06D16:00:00.000,36000
AET,2069.10.05D16:00:00.000,39600
AET,2070.04.05D16:00:00.000,36000
AET,2070.10.04D16:00:00.000,39600
AET,2071.04.04D16:00:00.000,36000
AET,2071.10.03D16:00:00.000,39600
AET,2072.04.02D16:00:00.000,36000
AET,2072.10.01D16:00:00.000,39600
AET,2073.04.01D16:00:00.000,36000
AET,2073.09.30D16:00:00.000,39600
AET,2074.03.31D16:00:00.000,36000
AET,2074.10.06D16:00:00.000,39600
AET,2075.04.06D16:00:00.000,36000
AET,2075.10.05D16:00:00.000,39600
AET,2076.04.04D16:00:00.000,36000
AET,2076.10.03D16:00:00.000,39600
AET,2077.04.03D16:00:00.000,36000
AET,2077.10.02D16:00:00.000,39600
AET,2078.04.02D16:00:00.000,36000
AET,2078.10.01D16:00:00.000,39600
AET,2079.04.01D16:00:00.000,36000
AET,2079.09.30D16:00:00.000,39600
AET,2080.04.06D16:00:00.000,36000
AET,2080.10.05D16:00:00.000,39600
AET,2081.04.05D16:00:00.000,36000
AET,2081.10.04D16:00:00.000,39600
AET,2082.04.04D16:00:00.000,36000
AET,2082.10.03D16:00:00.000,39600
AET,2083.04.03D16:00:00.000,36000
AET,2083.10.02D16:00:00.000,39600
AET,2084.04.01D16:00:00.000,36000
AET,2084.09.30D16:00:00.000,39600
AET,2085.03.31D16:00:00.000,36000
AET,2085.10.06D16:00:00.000,39600
AET,2086.04.06D16:00:00.000,36000
AET,2086.10.05D16:00:00.000,39600
